x,tpop,upop,percent
1920,463518,13790,2.975073244
1921,464864,13980,3.007331176
1922,466214,14010,3.005057763
1923,467568,14214,3.039985628
1924,468926,14415,3.074045798
1925,470288,14620,3.108733372
1926,471654,14820,3.142133852
1927,470852,15014,3.188687741
1928,474787,15212,3.20396304
1929,478830,15444,3.225361819
1930,482917,15688,3.248591373
1931,487039,15915,3.267705461
1932,491197,16208,3.29969442
1933,495390,16340,3.298411353
1934,499618,16762,3.354963192
1935,503883,17308,3.434924377
1936,508185,17890,3.520371518
1937,512523,18408,3.591643692
1938,516898,19066,3.688542033
1939,521310,19770,3.792369224
1940,525760,20552,3.909007912