x,China,Japan,USA,Russia,UK
1896,2994,7398,16382,36679,35253
1897,2660,11054,30249,39486,35187
1898,11968,11243,60011,38697,38741
1899,11967,11421,38588,43240,63547
1900,12241,13311,41481,43104,119587
1901,5155,10236,36087,44270,116896
1902,8769,8577,39722,46085,93419
1903,8765,15092,43814,48301,66400
1904,8761,67273,47918,50305,59715
1905,10105,73031,45098,170006,55604
1906,11022,37842,43602,90733,53899
1907,-9,21466,58725,68797,53207
1908,-9,21338,54189,58887,51755
1909,-9,17721,56177,60029,56532
1910,-9,18516,55880,62099,61417
1911,11880,20546,57157,64291,65309
1912,-9,19961,58992,73512,67957
1913,18408,19189,62825,85391,67734
1914,67785,108347,253205,857000,1678843
1915,-9,107515,257648,4524000,4651398
1916,89499,121129,277421,4343000,6213396
1917,-9,175068,658584,4040000,7600458
1918,193472,298716,7014226,258741,8104264
1919,214511,435629,11217796,1417699,745209
1920,-9,449471,1657118,1183426,1475661
1921,-9,404130,1116342,1337524,824711
1922,-9,334655,860853,1646534,549008
1923,-9,258175,678256,885597,584227
1924,-9,204128,570142,835358,584242
1925,177669,181598,589706,1447885,580411
1926,-9,203489,558004,1724660,562657
1927,64307,233185,596501,2044459,567952
1928,105698,240349,678100,2372196,542969
1929,111605,228010,701300,2798721,534694
1930,101852,218639,699200,3519631,512181
1931,73381,222176,698900,3509380,489350
1932,75541,199238,641600,2228018,326642
1933,108653,220162,570400,2363450,333267
1934,137458,277949,803100,3479651,540015
1935,146954,295113,806400,5517537,646350
1936,148278,279785,932600,2933657,892341
1937,407941,942416,1032900,3446172,1245603
1938,103151,1699210,1131499,5429984,1863997
1939,173755,1699970,980000,5984123,7895671
1940,217589,1863181,1657000,6145214,9948329
1941,244000,2929917,6301000,6884227,11280839
1942,61724,4414273,26001000,7324156,13478623
1943,331806,6989871,72109000,7978497,15376590
1944,195582,17227328,87000000,8094563,16254371
1945,228612,4002481,90000000,8589076,17002048
1946,789300,289212,45133984,8764724,17753616
1947,257474,437044,14315999,11583011,6656196
1948,214176,429720,10960998,13157894,3438984
1949,2030000,377688,13503000,13964622,3137333
1950,2558000,373590,14559000,15510433,2376154
1951,3094000,424924,33398000,20126000,3215782
1952,2709000,420767,47852000,21900448,4340931
1953,2538205,436495,49621008,25527632,4582745
1954,2538205,454148,42786000,28064976,4409778
1955,2575000,507622,40518000,29542096,4363684
1956,5539170,617276,41773008,26749408,4527611
1957,6219080,681028,44548000,27624304,4383177
1958,5894070,781283,45503008,30241936,4469098
1959,6612470,852603,46614000,34498608,4452225
1960,6727610,964203,45380000,36960032,4633255
1961,7953200,1069692,47808000,43662960,4791138
1962,9329700,1207489,52381008,49976192,5092642
1963,10690350,1386700,52295008,47000000,5239560
1964,12851090,1649789,51213008,47000000,5592841
1965,13787580,2252068,51827008,46000000,5832633
1966,15931440,2640987,67572000,48000000,6032499
1967,16389240,3119484,75448000,52000000,6348674
1968,17856960,4007243,80732000,62622000,5611164
1969,20299920,4535240,81446000,68053000,5489866
1970,23775520,4972179,77827008,77200000,5866538
1971,21600000,5514055,74862000,82700000,6853483
1972,22500000,7691538,77639000,88900000,8151113
1973,24500000,9995146,78385000,96410000,8612065
1974,26800000,9297521,85906000,109000000,9730994
1975,28500000,11623810,90948000,128000000,11475228
1976,31700000,11038627,91013000,138000000,11076590
1977,32700000,11654008,100925000,149000000,11886891
1978,35000000,12774892,109247000,163000000,14618042
1979,30000000,14189000,122279000,180000000,19175649
1980,28500000,20930000,143981000,201000000,26757385
1981,30500000,25420000,169888000,221000000,25691234
1982,33000000,28406000,196345000,237000000,24169041
1983,34500000,30090000,217198000,250000000,24873196
1984,23850000,28730000,237052000,264000000,23294855
1985,6350000,32680000,245154000,275000000,24200000
1986,5830000,38600000,265480000,287600000,27344000
1987,5640000,41730000,273966000,303000000,31774000
1988,5860000,46639000,281935000,317900000,31910000
1989,6670000,50219000,294880000,119440000,31270000
1990,6060000,45502000,289755000,128790000,38520000
1991,18790000,40891000,262389000,133700000,40430000
1992,24300000,38482000,286892000,47220000,42330000
1993,27400000,40383000,297600000,29120000,34020000
1994,28945000,45316000,293214000,96693000,35409000
1995,32929000,39513000,277834000,82000000,33406000
1996,36176000,39200000,277254000,73990000,35266000
1997,36551000,42835000,276324000,64000000,35736000
1998,38191000,45152000,279702000,57107000,38093000
1999,39889000,43910000,292147000,56800000,36368000
2000,42000000,41144000,303136000,52000000,35655000
2001,46049000,41039000,322365000,63684000,34714000
2002,68963000,,348555000,50800000,38141000
2003,75500000,,404920000,65200000,43311000
2004,87150000,,455908000,59600000,50120000
2005,29873000,,495326000,18768000,56922000
2006,35223000,,521840000,24577000,59926000
2007,46174000,,552568000,32215000,63258000