x,China,Japan,US,UK,Russia
1860,0,0,18282,80738,300
1861,0,0,17660,81520,400
1862,0,0,18366,82989,300
1863,0,0,21157,87608,400
1864,0,0,22597,90450,400
1865,0,0,22658,93014,400
1866,0,0,26846,95236,1050
1867,0,0,28027,95812,1203
1868,0,4,31646,97358,977
1869,0,7,35983,100633,1403
1870,0,6,37779,103698,1545
1871,0,10,39546,108646,2038
1872,0,13,48479,112120,2162
1873,0,16,53674,117821,2033
1874,0,223,51736,115524,2337
1875,0,593,52194,120906,2741
1876,0,577,51080,120198,3298
1877,0,531,56754,121069,3281
1878,0,768,55588,119929,4321
1879,0,964,67742,120249,4386
1880,0,978,76969,131039,5222
1881,2,999,81416,138269,5291
1882,38,1051,91087,139087,5530
1883,75,1136,97750,144374,6183
1884,126,1233,102689,140583,5691
1885,187,1394,103359,139339,5870
1886,187,1505,107964,137935,6115
1887,225,1861,123077,141800,5631
1888,241,2169,139275,147484,6123
1889,248,2576,133959,152628,7232
1890,249,2830,150826,156388,6622
1891,250,3387,162044,158759,6678
1892,251,3355,171105,156213,7227
1893,253,3577,172586,139713,8196
1894,255,4599,161748,159644,9807
1895,257,5074,182744,161765,19693
1896,489,5362,183531,165596,20385
1897,539,5582,190740,170127,23095
1898,735,7105,207271,170616,25991
1899,798,7118,236406,183524,29782
1900,233,8010,256081,185652,33930
1901,450,9593,280242,181916,35093
1902,898,10351,300106,188800,34262
1903,1036,10718,356268,189999,34714
1904,1103,12003,353388,190787,37584
1905,1213,12397,397156,193559,33355
1906,9033,13603,419190,200326,37868