x,China,Russia,Germany
1920,2.975073244,2.885985323,24.93111162
1921,3.007331176,3.328560157,25.57905015
1922,3.005057763,3.772672664,27.1341015
1923,3.039985628,4.276939354,28.01208243
1924,3.074045798,4.77868007,28.92838119
1925,3.108733372,5.288047846,29.83448431
1926,3.142133852,5.846549805,29.87147266
1927,3.188687741,6.456655452,29.94371719
1928,3.20396304,7.157809125,30.02452136
1929,3.225361819,7.943760064,30.12023703
1930,3.248591373,8.853659009,30.218994
1931,3.267705461,9.893363795,30.31826832
1932,3.29969442,11.0839121,30.44476283
1933,3.298411353,12.52212837,30.55904812
1934,3.354963192,14.06481691,30.64410397
1935,3.434924377,15.80828371,30.31508427
1936,3.520371518,17.73215437,30.35679817
1937,3.591643692,19.78235856,30.39908007
1938,3.688542033,21.8939344,30.39284462
1939,3.792369224,20.62296333,29.60851149
1940,3.909007912,17.50748414,27.95557083